productID,productName,ProductDesc,price,unit
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
1|Apple|APPLE CELL PHONE|500.00|10
4|Apple|APPLE CELL PHONE|500.00|10
6|office|MS OFFICE SOFTWARE|196|23
8|Dell|DELL COMPUTER|3000|5
10|Apple|APPLE CELL PHONE|500.00|10
3|office|MS OFFICE SOFTWARE|196|23
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
23|office|MS OFFICE SOFTWARE|196|23
25|Dell|DELL COMPUTER|3000|5
2|Dell|DELL COMPUTER|3000|5
5|Dell|DELL COMPUTER|3000|5
7|Apple|APPLE CELL PHONE|500.00|10
9|office|MS OFFICE SOFTWARE|196|23
11|Dell|DELL COMPUTER|3000|5
22|Dell|DELL COMPUTER|3000|5
24|Apple|APPLE CELL PHONE|500.00|10
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
1|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
8|Dell|DELL COMPUTER|3000|5
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
2|Dell|DELL COMPUTER|3000|5
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
22|Dell|DELL COMPUTER|3000|5
24|Apple|APPLE CELL PHONE|500.00|10
4|Apple|APPLE CELL PHONE|500.00|10
7|Apple|APPLE CELL PHONE|500.00|10
10|Apple|APPLE CELL PHONE|500.00|10
21|Apple|APPLE CELL PHONE|500.00|10
23|office|MS OFFICE SOFTWARE|196|23
3|office|MS OFFICE SOFTWARE|196|23
6|office|MS OFFICE SOFTWARE|196|23
9|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
1|Apple|APPLE CELL PHONE|500.00|10
6|office|MS OFFICE SOFTWARE|196|23
8|Dell|DELL COMPUTER|3000|5
10|Apple|APPLE CELL PHONE|500.00|10
12|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
21|Apple|APPLE CELL PHONE|500.00|10
23|office|MS OFFICE SOFTWARE|196|23
25|Dell|DELL COMPUTER|3000|5
27|Apple|APPLE CELL PHONE|500.00|10
3|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
9|office|MS OFFICE SOFTWARE|196|23
11|Dell|DELL COMPUTER|3000|5
22|Dell|DELL COMPUTER|3000|5
2|Dell|DELL COMPUTER|3000|5
5|Dell|DELL COMPUTER|3000|5
24|Apple|APPLE CELL PHONE|500.00|10
26|office|MS OFFICE SOFTWARE|196|23
28|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
1|Apple|APPLE CELL PHONE|500.00|10
2|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
5|Dell|DELL COMPUTER|3000|5
6|office|MS OFFICE SOFTWARE|196|23
7|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
9|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
12|office|MS OFFICE SOFTWARE|196|23
21|Apple|APPLE CELL PHONE|500.00|10
22|Dell|DELL COMPUTER|3000|5
23|office|MS OFFICE SOFTWARE|196|23
24|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
26|office|MS OFFICE SOFTWARE|196|23
27|Apple|APPLE CELL PHONE|500.00|10
28|Dell|DELL COMPUTER|3000|5
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
4|Apple|APPLE CELL PHONE|500.00|10
8|Dell|DELL COMPUTER|3000|5
21|Apple|APPLE CELL PHONE|500.00|10
25|Dell|DELL COMPUTER|3000|5
27|Apple|APPLE CELL PHONE|500.00|10
1|Apple|APPLE CELL PHONE|500.00|10
9|office|MS OFFICE SOFTWARE|196|23
12|office|MS OFFICE SOFTWARE|196|23
23|office|MS OFFICE SOFTWARE|196|23
28|Dell|DELL COMPUTER|3000|5
3|office|MS OFFICE SOFTWARE|196|23
6|office|MS OFFICE SOFTWARE|196|23
10|Apple|APPLE CELL PHONE|500.00|10
24|Apple|APPLE CELL PHONE|500.00|10
26|office|MS OFFICE SOFTWARE|196|23
2|Dell|DELL COMPUTER|3000|5
5|Dell|DELL COMPUTER|3000|5
7|Apple|APPLE CELL PHONE|500.00|10
11|Dell|DELL COMPUTER|3000|5
22|Dell|DELL COMPUTER|3000|5
312|office|MS OFFICE SOFTWARE|196|23
29|office|MS OFFICE SOFTWARE|196|23
210|Apple|APPLE CELL PHONE|500.00|10
211|Dell|DELL COMPUTER|3000|5
212|office|MS OFFICE SOFTWARE|196|23
31|Apple|APPLE CELL PHONE|500.00|10
32|Dell|DELL COMPUTER|3000|5
33|office|MS OFFICE SOFTWARE|196|23
34|Apple|APPLE CELL PHONE|500.00|10
35|Dell|DELL COMPUTER|3000|5
36|office|MS OFFICE SOFTWARE|196|23
37|Apple|APPLE CELL PHONE|500.00|10
38|Dell|DELL COMPUTER|3000|5
39|office|MS OFFICE SOFTWARE|196|23
310|Apple|APPLE CELL PHONE|500.00|10
311|Dell|DELL COMPUTER|3000|5
